id,kanji,kana,korean
n1_0005,賭け,かけ,"내기, 도박"
n1_0007,磁気,じき,자기(磁氣)
n1_0013,滞納,たいのう,체납
n1_0014,果て,はて,끝
n1_0024,購読,こうどく,구독
n1_0025,嗜好,しこう,"기호, 취향"
n1_0026,診療,しんりょう,진료
n1_0028,保管,ほかん,보관
n1_0030,配列,はいれつ,배열
n1_0032,途上,とじょう,"도상, ~하는 중"
n1_0036,徒歩,とほ,도보
n1_0037,伝来,でんらい,전래
n1_0038,トーン,トーン,"톤, 어조"
n1_0040,抗議,こうぎ,항의
n1_0041,自惚れ,うぬぼれ,"자만, 자만심"
n1_0043,優越,ゆうえつ,우월
n1_0050,怠慢,たいまん,"태만, 게으름"
n1_0054,閲覧,えつらん,열람
n1_0058,意地,いじ,"고집, 오기"
n1_0059,音,ね,"소리, 음색"
n1_0064,任務,にんむ,임무
n1_0065,成熟,せいじゅく,성숙
n1_0067,纏め,まとめ,"정리, 요약"
n1_0068,チャンネル,チャンネル,채널
n1_0069,心掛け,こころがけ,마음가짐
n1_0070,雑談,ざつだん,잡담
n1_0072,処分,しょぶん,처분
n1_0073,風習,ふうしゅう,풍습
n1_0075,仕上げ,しあげ,마무리
n1_0081,度忘れ,どわすれ,깜빡 잊음
n1_0083,独創,どくそう,"독창, 독창성"
n1_0086,兆,きざし,"조짐, 징조"
n1_0094,大水,おおみず,홍수
n1_0095,好況,こうきょう,호황
n1_0097,掲載,けいさい,게재
n1_0098,規模,きぼ,규모
n1_0101,異議,いぎ,이의
n1_0102,辞職,じしょく,사직
n1_0106,閉口,へいこう,질림; 난처함
n1_0109,設定,せってい,설정
n1_0114,ファイト,ファイト,파이팅; 투지
n1_0118,模範,もはん,모범
n1_0123,先行,せんこう,선행
n1_0128,投入,とうにゅう,투입
n1_0132,没落,ぼつらく,몰락
n1_0135,審査,しんさ,심사
n1_0136,上演,じょうえん,상연; 공연
n1_0141,登校,とうこう,등교
n1_0142,効率,こうりつ,효율
n1_0145,土木,どぼく,토목
n1_0146,変革,へんかく,변혁
n1_0154,創造,そうぞう,창조
n1_0159,朝寝坊,あさねぼう,늦잠; 늦잠꾸러기
n1_0161,乗り換え,のりかえ,환승
n1_0163,風土,ふうど,풍토
n1_0168,お蔭,おかげ,덕분; 덕택
n1_0171,福,ふく,복
n1_0173,無言,むごん,무언; 말이 없음
n1_0176,専修,せんしゅう,전공; 전수
n1_0180,報酬,ほうしゅう,보수
n1_0181,緩和,かんわ,완화
n1_0182,出血,しゅっけつ,출혈
n1_0183,意向,いこう,의향
n1_0188,排除,はいじょ,배제
n1_0189,負傷,ふしょう,부상
n1_0190,遅れ,おくれ,"지연, 늦음"
n1_0193,お使い,おつかい,심부름
n1_0194,手分け,てわけ,분담
n1_0203,経過,けいか,경과
n1_0205,ドライクリーニング,ドライクリーニング,드라이클리닝
n1_0207,志望,しぼう,지망
n1_0208,負担,ふたん,부담
n1_0212,味覚,みかく,미각
n1_0216,本気,ほんき,"진심, 본심"
n1_0220,謝絶,しゃぜつ,"사절, 거절"
n1_0223,持ち切り,もちきり,"화제, 이야깃거리"
n1_0224,農耕,のうこう,농경
n1_0225,暴動,ぼうどう,폭동
n1_0227,最善,さいぜん,최선
n1_0239,意図,いと,의도
n1_0241,出演,しゅつえん,출연
n1_0242,暇,いとま,"여가, 틈, 짬"
n1_0247,運営,うんえい,운영
n1_0249,実質,じっしつ,실질
n1_0250,切っ掛け,きっかけ,계기
n1_0251,視察,しさつ,시찰
n1_0252,屈折,くっせつ,굴절
n1_0254,静止,せいし,정지
n1_0258,詐欺,さぎ,사기
n1_0261,保守,ほしゅ,"보수, 유지보수"
n1_0262,時差,じさ,시차
n1_0264,変動,へんどう,변동
n1_0272,判定,はんてい,판정
n1_0274,弛み,たるみ,"처짐, 느슨함"
n1_0276,誘惑,ゆうわく,유혹
n1_0278,遭難,そうなん,조난
n1_0285,丁々,とうとう,챙챙(칼 부딪히는 소리)
n1_0287,決行,けっこう,"결행, 강행"
n1_0288,措置,そち,조치
n1_0293,切れ目,きれめ,"끊어진 곳, 틈, 매듭"
n1_0295,得点,とくてん,득점
n1_0310,変遷,へんせん,변천
n1_0320,本格,ほんかく,"본격, 진짜의 방식"
n1_0322,栽培,さいばい,재배
n1_0323,配給,はいきゅう,배급
n1_0324,手当て,てあて,"수당, 치료"
n1_0333,前置き,まえおき,"서론, 머리말"
n1_0335,模倣,もほう,모방
n1_0343,出社,しゅっしゃ,출근
n1_0345,奮闘,ふんとう,분투
n1_0346,創刊,そうかん,창간
n1_0348,再現,さいげん,재현
n1_0358,制定,せいてい,제정
n1_0362,含嗽,うがい,가글; 입 헹굼
n1_0364,根本,こんぽん,"근본, 근원"
n1_0365,沸騰,ふっとう,"비등, 끓음"
n1_0366,神秘,しんぴ,신비
n1_0367,気流,きりゅう,기류
n1_0370,沈黙,ちんもく,침묵
n1_0371,沈殿,ちんでん,침전
n1_0373,始末,しまつ,"처리, 뒷수습"
n1_0375,着色,ちゃくしょく,착색
n1_0377,衆議院,しゅうぎいん,중의원(일본 하원)
n1_0378,判決,はんけつ,판결
n1_0379,主導,しゅどう,주도
n1_0381,一息,ひといき,한숨 돌림; 잠깐의 휴식
n1_0385,傑,けつ,걸출한 인물; 뛰어남
n1_0387,守備,しゅび,수비
n1_0391,戦,いくさ,"전쟁, 싸움"
n1_0398,伝言,つてごと,"전언, 메시지"
n1_0400,趣旨,しゅし,취지
n1_0402,感染,かんせん,감염
n1_0414,国定,こくてい,국가 지정; 국정
n1_0417,チームワーク,チームワーク,팀워크
n1_0426,セレモニー,セレモニー,세리머니; 기념식; 의식
n1_0427,出生,しゅっしょう,출생
n1_0428,ナイター,ナイター,나이터; 야간 경기
n1_0429,滅亡,めつぼう,멸망
n1_0433,善し悪し,よしあし,좋고 나쁨; 시비(是非)
n1_0437,執着,しゅうじゃく,집착
n1_0444,抑圧,よくあつ,억압
n1_0455,生計,せいけい,생계
n1_0460,窒息,ちっそく,질식
n1_0466,レース,レース,"경주, 레이스"
n1_0467,良識,りょうしき,"양식, 분별력"
n1_0470,供,きょう,"제공, 바침"
n1_0472,配分,はいぶん,배분
n1_0473,発作,ほっさ,발작
n1_0481,魂,こん,"혼, 정신"
n1_0483,慣行,かんこう,관행
n1_0485,役職,やくしょく,"직책, 요직"
n1_0492,財,ざい,"재산, 재물"
n1_0496,関税,かんぜい,관세
n1_0498,憎しみ,にくしみ,"증오, 미움"
n1_0503,チェンジ,チェンジ,"체인지, 교체, 변화"
n1_0504,正解,せいかい,"정답, 옳음"
n1_0511,協定,きょうてい,협정
n1_0513,転居,てんきょ,"이사, 전거"
n1_0517,縁談,えんだん,혼담
n1_0520,膨脹,ぼうちょう,팽창
n1_0521,補給,ほきゅう,"보급, 보충"
n1_0523,人情,にんじょう,"인정, 인간미"
n1_0529,和風,わふう,"일본풍, 일본식"
n1_0535,一言,いちげん,한마디
n1_0538,訴え,うったえ,"호소, 소송, 제소"
n1_0543,崇拝,すうはい,숭배
n1_0544,気立て,きだて,"마음씨, 성품"
n1_0546,美,び,"아름다움, 미"
n1_0548,反響,はんきょう,"반향, 메아리"
n1_0551,体力,たいりょく,체력
n1_0552,悪日,あくび,"흉일, 불길한 날"
n1_0555,部門,ぶもん,부문
n1_0559,周期,しゅうき,주기
n1_0560,反感,はんかん,반감
n1_0561,主題,しゅだい,주제
n1_0566,業績,ぎょうせき,"업적, 실적"
n1_0568,異性,いせい,이성
n1_0570,洋風,ようふう,서양식
n1_0579,折衷,せっちゅう,절충
n1_0583,公団,こうだん,공단
n1_0585,盗み,ぬすみ,"도둑질, 절도"
n1_0586,技,わざ,기술; 재주; 솜씨
n1_0588,ソロ,ソロ,솔로; 독주
n1_0594,縁,えん,인연; 연
n1_0595,日当,にっとう,일당
n1_0599,曲,きょく,곡; 노래
n1_0601,採択,さいたく,채택
n1_0604,共存,きょうそん,공존
n1_0607,振興,しんこう,진흥
n1_0612,背景,はいけい,배경
n1_0615,蒸留,じょうりゅう,증류
n1_0616,弁護,べんご,변호
n1_0618,経歴,けいれき,경력
n1_0619,減点,げんてん,감점
n1_0627,共和,きょうわ,공화
n1_0629,前売り,まえうり,예매; 선매
n1_0631,製鉄,せいてつ,제철(철을 만듦)
n1_0635,月賦,げっぷ,"월부, 할부"
n1_0636,決算,けっさん,결산
n1_0641,余興,よきょう,여흥
n1_0642,受け入れ,うけいれ,"수용, 받아들임"
n1_0646,大金,たいきん,"큰돈, 거금"
n1_0647,起点,きてん,기점
n1_0650,陳列,ちんれつ,진열
n1_0651,取り扱い,とりあつかい,취급
n1_0660,会,え,"이해, 터득"
n1_0662,目方,めかた,무게
n1_0666,義理,ぎり,의리
n1_0667,組み合わせ,くみあわせ,조합
n1_0670,発芽,はつが,발아
n1_0675,脱出,だっしゅつ,탈출
n1_0677,局限,きょくげん,국한
n1_0681,字体,じたい,"자체, 서체"
n1_0685,角,かく,"각, 각도"
n1_0686,海路,うみじ,"뱃길, 해로"
n1_0689,討議,とうぎ,토의
n1_0690,遊牧,ゆうぼく,유목
n1_0693,助言,じょげん,조언
n1_0698,光沢,こうたく,광택
n1_0702,災害,さいがい,재해
n1_0706,書き取り,かきとり,받아쓰기
n1_0707,講習,こうしゅう,강습
n1_0709,衝撃,しょうげき,충격
n1_0715,重複,じゅうふく,중복
n1_0719,還暦,かんれき,환갑
n1_0722,お休み,おやすみ,휴일; 쉬는 날
n1_0725,捜索,そうさく,수색
n1_0727,考古学,こうこがく,고고학
n1_0732,産休,さんきゅう,출산 휴가
n1_0733,心中,しんじゅう,동반 자살
n1_0736,破裂,はれつ,파열; 폭발
n1_0737,反射,はんしゃ,반사
n1_0738,届け,とどけ,신고(서); 신청서
n1_0740,脱退,だったい,탈퇴
n1_0743,余地,よち,여지
n1_0744,教科,きょうか,교과
n1_0752,盲点,もうてん,맹점
n1_0755,調べ,しらべ,조사
n1_0758,行進,こうしん,행진
n1_0762,アンコール,アンコール,앙코르
n1_0764,進度,しんど,진도
n1_0765,暗殺,あんさつ,암살
n1_0771,喜劇,きげき,"희극, 코미디"
n1_0774,ボイコット,ボイコット,"보이콧, 불매운동"
n1_0778,水気,すいき,"물기, 수분"
n1_0782,独裁,どくさい,독재
n1_0786,介抱,かいほう,"간호, 돌봄"
n1_0792,出動,しゅつどう,출동
n1_0793,調停,ちょうてい,"조정, 중재"
n1_0804,出産,しゅっさん,출산
n1_0805,放射能,ほうしゃのう,방사능
n1_0806,雅致,がち,"아취, 우아한 정취"
n1_0807,過労,かろう,과로
n1_0808,予感,よかん,예감
n1_0812,駆けっこ,かけっこ,달리기 시합
n1_0817,流,りゅう,"~류, ~식, 방식"
n1_0819,甲,きのえ,갑(십간의 첫째); 갑(등급)
n1_0824,痛感,つうかん,"통감, 절실히 느낌"
n1_0826,勘弁,かんべん,용서
n1_0828,直感,ちょっかん,직감
n1_0833,全快,ぜんかい,완쾌
n1_0834,追及,ついきゅう,추궁
n1_0837,用件,ようけん,용건
n1_0841,疑惑,ぎわく,의혹
n1_0845,収容,しゅうよう,수용
n1_0846,人柄,ひとがら,"인품, 인간성"
n1_0851,酪農,らくのう,낙농
n1_0854,脅迫,きょうはく,협박
n1_0855,結核,けっかく,결핵
n1_0857,一面,いちめん,일면; 온통
n1_0860,中継,ちゅうけい,중계
n1_0862,再生,さいせい,재생
n1_0864,群,ぐん,"무리, 군집"
n1_0867,晴天,せいてん,맑은 날씨
n1_0872,巧み,たくみ,"솜씨 좋음, 능숙함"
n1_0876,紡績,ぼうせき,방적
n1_0877,和,わ,"합, 화합"
n1_0878,禅,ぜん,선(불교)
n1_0879,発掘,はっくつ,발굴
n1_0881,主演,しゅえん,주연
n1_0886,悪,あく,악
n1_0907,天地,あめつち,"천지, 세상"
n1_0913,没収,ぼっしゅう,몰수
n1_0915,余所見,よそみ,"한눈팔기, 딴 곳을 봄"
n1_0922,作用,さよう,작용
n1_0924,退学,たいがく,퇴학
n1_0925,転落,てんらく,"전락, 굴러떨어짐"
n1_0927,逃走,とうそう,도주
n1_0933,訂正,ていせい,정정
n1_0934,複合,ふくごう,복합
n1_0935,提示,ていじ,제시
n1_0938,専用,せんよう,전용
n1_0939,軽蔑,けいべつ,경멸
n1_0941,暴露,ばくろ,폭로
n1_0944,中毒,ちゅうどく,중독
n1_0948,暗算,あんざん,암산
n1_0949,起源,きげん,기원
n1_0951,出題,しゅつだい,출제
n1_0953,看護,かんご,간호
n1_0956,略奪,りゃくだつ,약탈
n1_0958,自覚,じかく,자각
n1_0963,産出,さんしゅつ,"산출, 생산"
n1_0964,ミュージック,ミュージック,음악
n1_0966,システム,システム,시스템
n1_0967,ニュアンス,ニュアンス,뉘앙스
n1_0975,与党,よとう,여당
n1_0976,セクション,セクション,"섹션, 부문"
n1_0977,降水,こうすい,강수
n1_0979,例,ためし,"전례, 경험"
n1_0983,還元,かんげん,환원
n1_0992,観覧,かんらん,관람
n1_0995,コンテスト,コンテスト,콘테스트
n1_1001,関与,かんよ,관여
n1_1002,画期,かっき,획기(적임)
n1_1005,興業,こうぎょう,"산업 진흥, 흥업"
n1_1012,未練,みれん,미련
n1_1015,見積り,みつもり,견적
n1_1016,卯,ぼう,"묘(토끼, 12간지의 넷째)"
n1_1020,捕鯨,ほげい,포경(고래잡이)
n1_1021,色彩,しきさい,색채
n1_1022,暴力,ぼうりょく,폭력
n1_1025,殺人,さつじん,살인
n1_1026,嚏,くしゃみ,재채기
n1_1027,元年,がんねん,원년
n1_1029,採掘,さいくつ,채굴
n1_1034,要因,よういん,요인
n1_1039,工作,こうさく,"공작(작업, 책략)"
n1_1040,採決,さいけつ,표결
n1_1041,連邦,れんぽう,연방
n1_1042,分散,ぶんさん,분산
n1_1043,中断,ちゅうだん,중단
n1_1044,飼育,しいく,사육
n1_1049,断言,だんげん,단언
n1_1054,欠乏,けつぼう,결핍
n1_1055,気風,きふう,"기풍, 기질"
n1_1056,同封,どうふう,동봉
n1_1058,治療,ちりょう,치료
n1_1061,弁論,べんろん,변론
n1_1062,慣れ,なれ,익숙함
n1_1063,商,しょう,몫(나눗셈의 몫)
n1_1064,民族,みんぞく,민족
n1_1065,ノイローゼ,ノイローゼ,"노이로제, 신경증"
n1_1068,審議,しんぎ,심의
n1_1069,片付け,かたづけ,"정리, 정돈"
n1_1070,アプローチ,アプローチ,"어프로치, 접근 방식"
n1_1072,取材,しゅざい,취재
n1_1073,消去,しょうきょ,"소거, 삭제"
n1_1077,映写,えいしゃ,영사(영화 상영)
n1_1078,独占,どくせん,독점
n1_1079,様相,ようそう,양상
n1_1080,失調,しっちょう,실조(균형이 깨짐)
n1_1084,状,じょう,상태; 모양(형태)
n1_1089,発足,はっそく,발족
n1_1092,蓄積,ちくせき,축적
n1_1094,月日,がっぴ,날짜; 월일
n1_1097,航海,こうかい,항해
n1_1102,取り替え,とりかえ,교체; 교환
n1_1111,賃金,ちんぎん,임금
n1_1114,襲撃,しゅうげき,습격
n1_1115,統制,とうせい,통제
n1_1118,返還,へんかん,반환
n1_1120,同級,どうきゅう,동급; 같은 학년(반)
n1_1130,団結,だんけつ,단결
n1_1135,気品,きひん,"기품, 품격"
n1_1137,質疑,しつぎ,질의
n1_1140,住,じゅう,"거주, 삶(주로 衣食住처럼 복합어에서 쓰임)"
n1_1141,麻酔,ますい,마취
n1_1142,噴出,ふんしゅつ,분출
n1_1147,消息,しょうそく,"소식, 근황"
n1_1148,歯科,しか,치과
n1_1151,感触,かんしょく,"감촉, 촉감"
n1_1156,季刊,きかん,계간
n1_1157,転任,てんにん,"전임, 전근"
n1_1159,結成,けっせい,결성
n1_1162,補強,ほきょう,보강
n1_1175,是正,ぜせい,시정
n1_1176,圧迫,あっぱく,압박
n1_1179,畜産,ちくさん,축산
n1_1193,経費,けいひ,경비
n1_1195,一心,いっしん,"한마음, 일심"
n1_1200,軍備,ぐんび,군비
n1_1204,聴覚,ちょうかく,청각
n1_1213,思考,しこう,"사고, 생각"
n1_1215,旧知,きゅうち,오랜 지인
n1_1216,窮乏,きゅうぼう,궁핍
n1_1222,企画,きかく,기획
n1_1226,慣例,かんれい,관례
n1_1228,瞬き,またたき,눈 깜빡임
n1_1229,妥結,だけつ,타결
n1_1231,武力,ぶりょく,무력
n1_1232,廃止,はいし,폐지
n1_1248,圧力,あつりょく,압력
n1_1254,防火,ぼうか,방화(불을 막음)
n1_1256,ショック,ショック,"쇼크, 충격"
n1_1257,逆立ち,さかだち,물구나무서기
n1_1259,増強,ぞうきょう,증강
n1_1265,資産,しさん,"자산, 재산"
n1_1268,庶務,しょむ,"서무, 잡무"
n1_1274,視野,しや,시야
n1_1277,恋愛,れんあい,연애
n1_1278,増進,ぞうしん,증진
n1_1283,申し込み,もうしこみ,신청
n1_1285,割り算,わりざん,나눗셈
n1_1291,腕前,うでまえ,"솜씨, 실력"
n1_1293,戦術,せんじゅつ,전술
n1_1295,一変,いっぺん,"완전히 변함, 일변"
n1_1298,抑制,よくせい,억제
n1_1311,承諾,しょうだく,승낙
n1_1312,保険,ほけん,보험
n1_1314,好意,こうい,호의
n1_1316,ショー,ショー,쇼
n1_1317,数詞,すうし,수사(품사)
n1_1318,廃棄,はいき,폐기
n1_1319,領域,りょういき,영역
n1_1321,教習,きょうしゅう,교습
n1_1322,有様,ありさま,모습; 상태; 꼴
n1_1323,レクリエーション,レクリエーション,레크리에이션
n1_1327,教職,きょうしょく,교직
n1_1328,記載,きさい,기재
n1_1329,決断,けつだん,결단
n1_1337,合わせ,あわせ,맞춤; 조합
n1_1338,適性,てきせい,적성
n1_1341,耕作,こうさく,경작
n1_1349,動揺,どうよう,동요
n1_1354,結合,けつごう,결합
n1_1355,決勝,けっしょう,결승
n1_1362,身なり,みなり,옷차림
n1_1363,タイミング,タイミング,타이밍
n1_1366,自転,じてん,자전
n1_1371,転勤,てんきん,전근
n1_1382,奇数,きすう,홀수
n1_1386,把握,はあく,파악
n1_1389,養護,ようご,"양호, 보호"
