id,level,kanji,hiragana,korean,reason,prompt
n5_0002,N5,問題,もんだい,문제,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '문제' (問題), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0022,N5,英語,えいご,영어,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '영어' (英語), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0055,N5,分かる,わかる,"알다, 이해하다",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '알다, 이해하다' (分かる), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0098,N5,番号,ばんごう,번호,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '번호' (番号), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0119,N5,大学,だいがく,대학교,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '대학교' (大学), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0145,N5,覚える,おぼえる,"외우다, 기억하다",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '외우다, 기억하다' (覚える), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0162,N5,言葉,ことば,"말, 단어",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '말, 단어' (言葉), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0247,N5,忘れる,わすれる,잊다,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '잊다' (忘れる), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0309,N5,上,うえ,위,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '위' (上), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0353,N5,入れる,いれる,넣다,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '넣다' (入れる), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0360,N5,冷たい,つめたい,차갑다,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (차갑다), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0394,N5,宿題,しゅくだい,숙제,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '숙제' (宿題), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0395,N5,死ぬ,しぬ,죽다,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (죽다), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0424,N5,全部,ぜんぶ,"전부, 모두",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '전부, 모두' (全部), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0432,N5,やる,やる,하다,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '하다' (やる), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0433,N5,自動車,じどうしゃ,자동차,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"delicious fresh food dish (자동차), cozy dining table setting, steam rising, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0451,N5,習う,ならう,배우다,프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '배우다' (習う), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0458,N5,八日,ようか,"팔 일, 8일",프롬프트 시각화 정밀 개선 (범용 폴백 교체),"iconic visual illustration representing '팔 일, 8일' (八日), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
