id,level,kanji,hiragana,korean,english,reason,fixed_prompt
n5_0282,N5,切符,きっぷ,"표, 승차권",ticket,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"train ticket on wooden counter, station ticket barrier background, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0360,N5,冷たい,つめたい,차갑다,cold to the touch,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '차갑다' (冷たい), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0395,N5,死ぬ,しぬ,죽다,to die,부분 문자열 매칭 오작동 ('죽' -> 죽다/반죽 등 비음식 단어),"iconic visual illustration representing '죽다' (死ぬ), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0433,N5,自動車,じどうしゃ,자동차,automobile,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '자동차' (自動車), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0521,N5,交差点,こうさてん,교차로,intersection,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '교차로' (交差点), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n5_0555,N5,車,くるま,"자동차, 차","car, vehicle",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '자동차, 차' (車), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_490,N4,駐車場,ちゅうしゃじょう,주차장,parking lot,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"quiet open parking lot, cars parked in neat spaces, sunset sky backdrop, peaceful suburban setting, studio ghibli scenery art, warm evening glow"
n4_542,N4,亡くなる,なくなる,죽다,to die,부분 문자열 매칭 오작동 ('죽' -> 죽다/반죽 등 비음식 단어),"iconic visual illustration representing '죽다' (亡くなる), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n4_631,N4,別,べつ,차이,different,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '차이' (別), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0014,N3,革,かわ,가죽,leather,부분 문자열 매칭 오작동 ('죽' -> 죽다/반죽 등 비음식 단어),"crafted leather satchel, vintage leather texture, brass buckles, sitting on antique desk, warm study room, ghibli style, no humans"
n3_0031,N3,違い,ちがい,"차이, 다름","difference, discrepancy",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '차이, 다름' (違い), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0044,N3,カー,カー,"카, 차(주로 복합어에 사용)",car,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '카, 차(주로 복합어에 사용)' (カー), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0127,N3,占める,しめる,차지하다,"(1) to comprise, to account for, to make up (of), (2) to hold, to occupy",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '차지하다' (占める), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0152,N3,次々,つぎつぎ,"차례차례, 잇달아","in succession, one by one",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"studio ghibli style, warm color palette, watercolor aesthetic, soft lighting, cozy atmosphere, colorful pastries lined up neatly on wooden bakery counter"
n3_0154,N3,順,じゅん,"순서, 차례","order, turn",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"Ghibli style, neat queue of children in school uniforms, schoolyard gate, morning sun, retro school life, nostalgic organized group, watercolor"
n3_0186,N3,必死,ひっし,"필사적, 죽을힘을 다함","inevitable death, desperation, frantic, inevitable result",부분 문자열 매칭 오작동 ('죽' -> 죽다/반죽 등 비음식 단어),"Ghibli style, late night study, stack of books, glowing study lamp, determined student, steam from tea cup, cozy messy desk, nostalgic struggle"
n3_0226,N3,再び,ふたたび,"다시, 재차","again, once more, a second time",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '다시, 재차' (再び), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0273,N3,気付く,きづく,"알아차리다, 깨닫다","to notice, to recognize, to become aware of",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"Ghibli style, ticket gate, realizing pocket is empty, surprised look, train steam, warm station lights, nostalgic commuter life, watercolor"
n3_0535,N3,バン,バン,"밴, 승합차","bun, van (caravan), VAN (value-added network)",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '밴, 승합차' (バン), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0540,N3,皮,かわ,"가죽, 껍질","skin, hide, leather, fur, pelt, bark, shell",부분 문자열 매칭 오작동 ('죽' -> 죽다/반죽 등 비음식 단어),"iconic visual illustration representing '가죽, 껍질' (皮), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0714,N3,差,さ,차이,"difference, variation",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '차이' (差), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_0748,N3,しまった,しまった,"아차!, 이런!",Damn it!,부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"shocked expression, oops moment, wallet left on table, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1104,N3,順番,じゅんばん,"순서, 차례","turn (in line), order of things",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '순서, 차례' (順番), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1106,N3,穏やか,おだやか,"온화하다, 차분하다","calm, gentle, quiet",부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '온화하다, 차분하다' (穏やか), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1122,N3,駐車,ちゅうしゃ,주차,parking (e.g. car),부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"iconic visual illustration representing '주차' (駐車), cozy aesthetic environment, studio ghibli style, warm color palette, soft volumetric lighting"
n3_1182,N3,列車,れっしゃ,열차,train (ordinary),부분 문자열 매칭 오작동 ('차' -> 자동차/열차/차고/차임벨 등 비음식 단어),"old train, arriving at station, steam, rural landscape, mountains, sunset, studio ghibli style, nostalgic"
